State_Name,Population_2020,State_Code
United States,331501080,
Northeast Region,57525633,
Midwest Region,68935174,
South Region,126409007,
West Region,78631266,
Alabama,5024803,AL
Alaska,732441,AK
Arizona,7177986,AZ
Arkansas,3012232,AR
California,39499738,CA
Colorado,5784308,CO
Connecticut,3600260,CT
Delaware,991886,DE
District of Columbia,690093,DC
Florida,21569932,FL
Georgia,10725800,GA
Hawaii,1451911,HI
Idaho,1847772,ID
Illinois,12785245,IL
Indiana,6785644,IN
Iowa,3188669,IA
Kansas,2935880,KS
Kentucky,4503958,KY
Louisiana,4651203,LA
Maine,1362280,ME
